,model_type,nutrient,data_type,r^2,times_better_than_random,ecoreg,era,area,temp,precip,elev,forest,wetland,urban,ag
0,MLP,doc,stream_normal,8.425742462769836e-05,0.09487907750925313,,,,,,,,,,
1,MLP,no3,stream_normal,0.000612908563213943,0.009331836621188661,,,,,,,,,,
2,MLP,tn,stream_normal,0.0002562353216516433,0.019938867100255445,,,,,,,,,,
3,MLP,tp,stream_normal,0.03321893428704037,3.429381249638098,,,,,,,,,,
4,GBR,doc,stream_normal,0.4127291070205592,1.5987124204652117,0.001779452975050492,0.0005392325621946258,0.0396931273992842,0.1421104051401701,0.1283529951600419,0.046863601778602194,0.02917162850983225,0.4873062239579496,0.05315806079964234,0.07102527171723227
5,GBR,no3,stream_normal,0.18651988757330207,1.3100906606295757,0.0009325710616795712,0.010389971962909136,0.05222085934782512,0.05956680090420711,0.0699844582096612,0.15913149539977053,0.15552007501453255,0.12351125751328498,0.31742616759242953,0.051316342993700435
6,GBR,tn,stream_normal,0.4437162000309931,1.501313941357948,0.01256428367851518,0.0005567849110491835,0.09232374770668797,0.12199586196084902,0.08907121726919949,0.1880134505009001,0.1348810865369102,0.10133204697006529,0.11986770518217525,0.13939381528364828
7,GBR,tp,stream_normal,0.057297518316711475,0.847046881617428,0.10880988624309203,0.0011972631798559555,0.23876044873962024,0.02673529552809662,0.12704459361890855,0.17012940038921984,0.14532666073976924,0.019625443470821645,0.10446593854768076,0.05790506954293502
8,RFR,doc,stream_normal,0.5812215222602932,4.23532627030197,0.008249851770324999,0.002118871388865683,0.08683446702789192,0.15086185829095392,0.0833272238971177,0.08931981668327495,0.05721335525446738,0.3872740664917881,0.04935172791457461,0.0854487612807408
9,RFR,no3,stream_normal,0.27537587846200196,4.108131064644389,0.00489825810867019,0.0014878427675722376,0.04693230910687041,0.09190805094830215,0.061095286403596905,0.10031745727462914,0.16895314742094483,0.1360586624736224,0.22836363521806402,0.15998535027772784
10,RFR,tn,stream_normal,0.584564734648005,4.720359453804368,0.018963263041100197,0.004194828885474759,0.07481873386214591,0.09516635987822294,0.1243079389884918,0.21128307714281752,0.11624605794867157,0.04141399184870404,0.060009188904343716,0.2535965595000275
11,RFR,tp,stream_normal,0.14563853768607815,5.015574939088227,0.11607781997479483,0.0016155335053477217,0.24984628955408872,0.07664833749322265,0.09950677585317559,0.12514561920332282,0.03971645892138055,0.04412678584304951,0.19135937725802318,0.055957002393594274
12,DTR,doc,stream_normal,0.45175948554224826,3.772431211176676,0.004750071723889282,0.0030035063375480646,0.05127175498289187,0.25825862253998394,0.20176226958636626,0.04326853843962207,0.025112633394640087,0.34071975169252977,0.028573445615477665,0.043279405687051034
13,DTR,no3,stream_normal,0.2112925304375587,3.850835796346297,0.030462016696121922,0.009022816993970548,0.018204495059207047,0.06814984399089542,0.030050553980528565,0.10289296838306083,0.12993494076822976,0.02529294041506659,0.460061653886665,0.12592776982625434
14,DTR,tn,stream_normal,0.3906270363751203,3.78221833997946,0.0011350383073880912,0.0001809824348455243,0.23151629925576755,0.06905746919418083,0.11909784584385712,0.24371373253297876,0.17980862855326704,0.01680578794301719,0.06586193045213064,0.07282228548256736
15,DTR,tp,stream_normal,0.046744544121309906,4.129533310704709,0.16050498758434764,3.2590262465947635e-05,0.10533012883398828,0.24430975421416085,0.20896466579938186,0.015675474275837663,0.012495231927621323,0.05686754099192593,0.06761631198121014,0.12820331412906041
